Positive,Negative,Game_name,Positive_Rate,Link
1466,220,Stormworks Build and Rescue,0.87,https://store.steampowered.com/app/573090/Stormworks_Build_and_Rescue/
2547,1145,Far Cry New Dawn,0.69,https://store.steampowered.com/app/939960/Far_Cry_New_Dawn/
47912,1997,Dont Starve,0.96,https://store.steampowered.com/app/219740/Dont_Starve/
577,102,Eastshade,0.85,https://store.steampowered.com/app/715560/Eastshade/
496,124,Zero Caliber VR,0.8,https://store.steampowered.com/app/877200/Zero_Caliber_VR/
7801,4583,World War 3,0.63,https://store.steampowered.com/app/674020/World_War_3/
12964,1603,Call of Duty Modern Warfare 2,0.89,https://store.steampowered.com/app/10180/Call_of_Duty_Modern_Warfare_2/
18580,5551,Neverwinter,0.77,https://store.steampowered.com/app/109600/Neverwinter/
61254,1895,The Binding of Isaac Rebirth,0.97,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/
2379,1795,UNO,0.57,https://store.steampowered.com/app/470220/UNO/
11490,1717,Age of Empires III Complete Collection,0.87,https://store.steampowered.com/app/105450/Age_of_Empires_III_Complete_Collection/
196,56,The Jackbox Party Pack 5,0.78,https://store.steampowered.com/app/774461/The_Jackbox_Party_Pack_5/
812,144,Knights of Pen and Paper 2,0.85,https://store.steampowered.com/app/310060/Knights_of_Pen_and_Paper_2/
2785,741,Dawn of Man,0.79,https://store.steampowered.com/app/858810/Dawn_of_Man/
1475,46,Baba Is You,0.97,https://store.steampowered.com/app/736260/Baba_Is_You/
7629,2153,Microsoft Flight Simulator X Steam Edition,0.78,https://store.steampowered.com/app/314160/Microsoft_Flight_Simulator_X_Steam_Edition/
25335,4826,ASTRONEER,0.84,https://store.steampowered.com/app/361420/ASTRONEER/
35512,1870,Hollow Knight,0.95,https://store.steampowered.com/app/367520/Hollow_Knight/
6306,1113,Kingdoms and Castles,0.85,https://store.steampowered.com/app/569480/Kingdoms_and_Castles/
4556,805,Tyranny,0.85,https://store.steampowered.com/app/362960/Tyranny/
18812,4704,XCOM 2,0.8,https://store.steampowered.com/app/268500/XCOM_2/
19300,9083,Elite Dangerous,0.68,https://store.steampowered.com/app/359320/Elite_Dangerous/
23537,4822,Realm of the Mad God,0.83,https://store.steampowered.com/app/200210/Realm_of_the_Mad_God/
